SN,ISO3,ADMIN1_NAME,ADMIN2_NAME,IU_NAME,LocationName,Latitude,Longitude,LocationType,SurveyYear,Method_1,Method_2,Examined,Positive,Prevalence
932,CMR,Adamaoua,Mayo-Banyo,Bankim,Banti-Ba,6.59,11.55,Village,2003,Clinical,Nodule Palpation,31,13,0.419
933,CMR,Ouest,Ndé,Bangangte,Bantoumi,5.095833,10.661111,Village,,Clinical,Nodule Palpation,30,26,0.867
934,CMR,Adamaoua,Vina,Ngaoundere Rural,Baore,6.87,14.05,Village,2003,Clinical,Nodule Palpation,41,6,0.146
935,CMR,Ouest,Noun,Foumbot,Bapi,5.432334,10.82864,Village,2011,Parasitological,Parasitology (Skin Biopsy),259,23,0.089
936,CMR,Est,Haut-Nyong,Abong Mbang,Bapile,3.333333,13.583333,Village,2004,Clinical,Nodule Palpation,32,1,0.031
937,CMR,Nord,Bénoué,Gaschiga,Bascheo,9.743056,13.475833,Village,2003,Clinical,Nodule Palpation,50,1,0.02
938,CMR,Sud-Ouest,Kupe-Muanenguba,Tombel,Basseng,4.925,9.707222,Village,,Clinical,Nodule Palpation,41,23,0.561
939,CMR,Nord,Mayo-Louti,Figuil,Batao,9.944444,14.15,Village,,Clinical,Nodule Palpation,40,1,0.025
940,CMR,Ouest,Bamboutos,Batcham,Batcham,5.597222,10.206944,Village,,Clinical,Nodule Palpation,30,17,0.567
941,CMR,Ouest,Bamboutos,Galim,Batie,5.666667,10.45,Village,,Clinical,Nodule Palpation,30,13,0.433
942,CMR,Ouest,Nkoung-Khi,Bandjoun,Batoula,5.346111,10.481389,Village,2011,Parasitological,Parasitology (Skin Biopsy),103,21,0.204
943,CMR,Nord,Bénoué,Gaschiga,Batoum,9.9,13.55,Village,2003,Clinical,Nodule Palpation,50,3,0.06
944,CMR,Adamaoua,Mbéré,Djohong,Batour,7.1,15.166667,Village,,Clinical,Nodule Palpation,30,15,0.5
945,CMR,Ouest,Hauts-Plateaux,Baham,Bayagam,5.25,10.416667,Village,,Clinical,Nodule Palpation,30,20,0.667
946,CMR,Adamaoua,Vina,Ngaoundere Rural,Bayara,6.88,14.42,Village,2003,Clinical,Nodule Palpation,32,0,0
947,CMR,Adamaoua,Vina,Ngaoundere Rural,Bayara,6.983333,14.566667,Village,,Clinical,Nodule Palpation,30,0,0
948,CMR,Ouest,Ndé,Bangangte,Bazou,5.061111,10.466667,Village,,Clinical,Nodule Palpation,30,22,0.733
949,CMR,Est,Lom-et-Djérem,Batouri,Bazzama,4.516667,13.933333,Village,2004,Clinical,Nodule Palpation,29,0,0
950,CMR,Sud-Ouest,Manyu,Wabane,Bechati,5.664444,9.904444,Village,,Clinical,Nodule Palpation,75,47,0.627
951,CMR,Est,Haut-Nyong,Abong Mbang,Bedoumo,3.652778,13.363889,Village,,Clinical,Nodule Palpation,28,1,0.036
952,CMR,Nord-Ouest,Menchum,Njikwa,Befang,6.326389,9.969444,Village,,Clinical,Nodule Palpation,33,9,0.273
953,CMR,Sud-Ouest,Manyu,Eyumodjock,Beja-Bero,5.420833,9.160833,Village,,Clinical,Nodule Palpation,57,34,0.596
954,CMR,Nord,Faro,Poli,Beka,9.068611,12.925278,Village,2003,Clinical,Nodule Palpation,36,12,0.333
955,CMR,Adamaoua,Vina,Ngaoundere Rural,Beka Modi,6.911111,14.455556,Village,,Clinical,Nodule Palpation,30,0,0
956,CMR,Adamaoua,Mbéré,Meiganga,Bekaziki,6.29,14,Village,2003,Clinical,Nodule Palpation,35,7,0.2
957,CMR,Littoral,Moungo,Abo,Bekoko,4.35,9.779444,Village,2006,Clinical,Nodule Palpation,30,1,0.033
958,CMR,Sud-Ouest,Manyu,Mamfe,Bekumu II,5.383333,9.45,Village,2003,Clinical,Nodule Palpation,33,3,0.091
959,CMR,Est,Lom-et-Djérem,Bertoua,Belabo Vi,4.9,13.294444,Village,2004,Clinical,Nodule Palpation,21,8,0.381
960,CMR,Est,Lom-et-Djérem,Bertoua,Belabo Vi,4.916667,13.266667,Village,,Clinical,Nodule Palpation,40,21,0.525
961,CMR,Adamaoua,Vina,Ngaoundere Rural,Belel,7.033333,14.55,Village,,Clinical,Nodule Palpation,30,0,0
962,CMR,Littoral,Nkam,Yabassi,Benga I,4.612222,10.058611,Village,,Clinical,Nodule Palpation,22,14,0.636
963,CMR,Littoral,Moungo,Abo,Bengse,4.35868,9.74453,Village,2013,Parasitological,Parasitology (Skin Biopsy),111,1,0.009
964,CMR,Littoral,Moungo,Abo,Bengse,4.35868,9.74453,Village,2013,Clinical,Nodule Palpation,104,2,0.019
965,CMR,Littoral,Moungo,Abo,Bengse,4.366667,9.745278,Village,,Clinical,Nodule Palpation,17,3,0.176
966,CMR,Littoral,Nkam,Deido,Bepulu,4.226111,9.798611,Village,2006,Clinical,Nodule Palpation,18,0,0
967,CMR,Nord-Ouest,Donga-Mantung,Nkambe,Berabe,6.688889,10.743056,Village,,Clinical,Nodule Palpation,35,14,0.4
968,CMR,Centre,Haute-Sanaga,Nanga Eboko,Berkong,4.65,12.616667,Village,,Clinical,Nodule Palpation,29,0,0
969,CMR,Sud-Ouest,Lebialem,Wabane,Bessali,5.63,9.896111,Village,,Clinical,Nodule Palpation,59,34,0.576
970,CMR,Nord-Ouest,Momo,Batibo,Bessi,5.811111,9.920833,Village,,Clinical,Nodule Palpation,31,7,0.226
971,CMR,Littoral,Nkam,Yabassi,Bessounka,4.468056,9.914444,Village,2006,Clinical,Nodule Palpation,33,6,0.182
972,CMR,Centre,Mbam-et-Inoubou,Bafia,Bialangue,4.644444,11.35,Village,,Clinical,Nodule Palpation,82,70,0.854
973,CMR,Centre,Mbam-et-Inoubou,Saa,Bialanguena,4.533333,11.339,Village,,Parasitological,Parasitology (Skin Biopsy),289,207,0.716
974,CMR,Centre,Mbam-et-Kim,Obala,Biatsota,4.408611,11.639444,Village,,Clinical,Nodule Palpation,93,61,0.656
975,CMR,Centre,Mbam-et-Inoubou,Bafia,Biatsotta,4.766667,11.28333,Village,2011,Parasitological,Parasitology (Skin Biopsy),227,150,0.661
976,CMR,Est,Haut-Nyong,Messamena,Biba,3.516667,12.666667,Village,2004,Clinical,Nodule Palpation,38,8,0.211
977,CMR,Sud,Mvila,Ebolowa,Biba I,2.77,11.11,Village,2003,Clinical,Nodule Palpation,31,2,0.065
978,CMR,Sud,Dja-et-Lobo,Zoetele,Bibe,3.22,11.82,Village,2003,Clinical,Nodule Palpation,43,2,0.047
979,CMR,Centre,Haute-Sanaga,Nanga Eboko,Biboa,4.444444,12.605556,Village,,Clinical,Nodule Palpation,24,0,0
980,CMR,Centre,Nyong-et-Foumou,Meyomessala,Biboulema,3.345833,12.156944,Village,2005,Clinical,Nodule Palpation,31,8,0.258
981,CMR,Littoral,Sanaga-Maritime,Ngambe,Bibumha,3.98008,10.56299,Village,,Parasitological,Parasitology (Skin Biopsy),142,40,0.282
982,CMR,Sud,Océan,Kribi,Bidjouka,3.116667,10.483333,Village,,Clinical,Nodule Palpation,50,0,0
983,CMR,Sud,Océan,Kribi,Bidou II,2.858333,10,Village,,Clinical,Nodule Palpation,17,0,0
984,CMR,Sud,Dja-et-Lobo,Zoetele,Bikobo,3.229167,11.840556,Village,2005,Clinical,Nodule Palpation,47,13,0.277
985,CMR,Sud,Océan,Lolodorf,Bikoe I,3.32624,10.85404,Village,2013,Parasitological,Parasitology (Skin Biopsy),262,2,0.008
986,CMR,Sud,Océan,Lolodorf,Bikoe I,3.32624,10.85404,Village,2013,Clinical,Nodule Palpation,262,6,0.023
987,CMR,Centre,Nyong-et-Foumou,Akonolinga,Bilone,3.434167,11.989444,Village,2005,Clinical,Nodule Palpation,30,7,0.233
988,CMR,Nord,Faro,Poli,Bimba,8.577778,12.511111,Village,,Clinical,Nodule Palpation,30,4,0.133
989,CMR,Est,Haut-Nyong,Doume,Bindanang,4.016667,13.083333,Village,2004,Clinical,Nodule Palpation,50,3,0.06
990,CMR,Est,Lom-et-Djérem,Meiganga,Bindiba,6.066667,14.383333,Village,2004,Clinical,Nodule Palpation,36,2,0.056
991,CMR,Est,Haut-Nyong,Abong Mbang,Bindom,2.941667,13.384722,Village,2005,Clinical,Nodule Palpation,49,29,0.592
992,CMR,Centre,Nyong-et-So'o,Zoetele,Bindoumba,3.360278,11.718611,Village,2005,Clinical,Nodule Palpation,41,3,0.073
993,CMR,Est,Haut-Nyong,Abong Mbang,Bingongol,3.211389,14.0025,Village,2004,Clinical,Nodule Palpation,30,3,0.1
994,CMR,Est,Lom-et-Djérem,Bertoua,Biombe,5,13.333333,Village,2004,Clinical,Nodule Palpation,32,17,0.531
995,CMR,Nord,Mayo-Rey,Rey Bouba,Bissa,8.666667,14.977778,Village,,Clinical,Nodule Palpation,30,12,0.4
996,CMR,Centre,Haute-Sanaga,Mbandjock,Bissaga,4.666667,12.133333,Village,,Clinical,Nodule Palpation,29,14,0.483
997,CMR,Sud,Dja-et-Lobo,Meyomessala,Bissombo,3.27,12.48,Village,2003,Clinical,Nodule Palpation,30,11,0.367
998,CMR,Adamaoua,Vina,Ngaoundere Rural,Bissouna,7.08,13.12,Village,2003,Clinical,Nodule Palpation,31,1,0.032
999,CMR,Sud,Mvila,Mvangan,Biwong-Bo,2.783333,11.366667,Village,,Clinical,Nodule Palpation,39,1,0.026
1000,CMR,Centre,Nyong-et-Foumou,Meyomessala,Biyan,3.429722,12.174167,Village,2005,Clinical,Nodule Palpation,50,19,0.38
1001,CMR,Sud,Vallée-du-Ntem,Ambam,Biyan,2.5,10.8,Village,,Clinical,Nodule Palpation,25,0,0
1002,CMR,Sud,Dja-et-Lobo,Meyomessala,Biyebe,3.27,12.18,Village,2003,Clinical,Nodule Palpation,30,0,0
1003,CMR,Centre,Nyong-et-Foumou,Meyomessala,Bizang,3.415278,12.138889,Village,2005,Clinical,Nodule Palpation,30,9,0.3
1004,CMR,Littoral,Nkam,Deido,Boadibo,4.208333,9.8325,Village,2006,Clinical,Nodule Palpation,28,3,0.107
1005,CMR,Sud-Ouest,Fako,Limbe,Boanda,4.116111,9.310833,Village,,Clinical,Nodule Palpation,50,38,0.76
1006,CMR,Nord,Mayo-Rey,Rey Bouba,Bodal,8.783333,13.997222,Village,,Clinical,Nodule Palpation,40,1,0.025
1007,CMR,Littoral,Nkam,Yabassi,Bodiman,4.39223,9.8704,Village,2011,Parasitological,Parasitology (Skin Biopsy),112,73,0.652
1008,CMR,Nord,Bénoué,Bibemi,Boeli,9.3,14.091667,Village,,Clinical,Nodule Palpation,40,1,0.025
1009,CMR,Nord,Mayo-Rey,Touboro,Bogdoro,7.616667,15.366667,Village,,Clinical,Nodule Palpation,54,44,0.815
1010,CMR,Adamaoua,Djérem,Ngaoundal,Bogodo,6.25,13.23,Village,2003,Clinical,Nodule Palpation,50,19,0.38
1011,CMR,Littoral,Wouri,Bonassama,Bojongo,4.12,9.683889,Village,2006,Clinical,Nodule Palpation,31,1,0.032
1012,CMR,Sud-Ouest,Meme,Mbonge,Bokosso,4.421944,9.151944,Village,,Clinical,Nodule Palpation,51,20,0.392
1013,CMR,Littoral,Moungo,Bonassama,Bomono Ba,4.133333,9.596667,Village,,Clinical,Nodule Palpation,30,1,0.033
1014,CMR,Littoral,Nkam,Yabassi,Bonadissake,4.49417,9.9756,Village,,Parasitological,Parasitology (Skin Biopsy),146,55,0.377
1015,CMR,Littoral,Nkam,Yabassi,Bonamatek,4.372222,9.940833,Village,2006,Clinical,Nodule Palpation,32,3,0.094
1016,CMR,Littoral,Moungo,Dibombari,Bonamatou,4.261944,9.703056,Village,2006,Clinical,Nodule Palpation,30,0,0
1017,CMR,Adamaoua,Mbéré,Djohong,Bondo,6.48,14.38,Village,2003,Clinical,Nodule Palpation,30,5,0.167
1018,CMR,Littoral,Wouri,Deido,Bonendal?,4.145556,9.775833,Village,2006,Clinical,Nodule Palpation,38,0,0
1019,CMR,Littoral,Nkam,Yabassi,Bonepoupa,4.093889,10.037222,Village,,Clinical,Nodule Palpation,51,35,0.686
1020,CMR,Est,Lom-et-Djérem,Betare Oya,Bongo,5.533333,14.183333,Village,2004,Clinical,Nodule Palpation,33,3,0.091
1021,CMR,Nord,Mayo-Rey,Tchollire,Bongo,8.527778,15.022222,Village,,Clinical,Nodule Palpation,30,5,0.167
1022,CMR,Adamaoua,Mbéré,Djohong,Borgou,6.54,14.48,Village,2003,Clinical,Nodule Palpation,43,6,0.14
1023,CMR,Est,Lom-et-Djérem,Garoua Boulai,Borongo,5.5,14.3,Village,2004,Clinical,Nodule Palpation,32,7,0.219
1024,CMR,Extrême-Nord,Mayo-Sava,Mora,Bounderti,11.35,14.406944,Village,2003,Clinical,Nodule Palpation,30,0,0
1025,CMR,Centre,Mbam-et-Inoubou,Bafia,Boyabisso,4.616667,11.303333,Village,,Clinical,Nodule Palpation,79,33,0.418
1026,CMR,Sud-Ouest,Kupe-Muanenguba,Njombe Penja,Buba,4.628889,9.6275,Village,,Clinical,Nodule Palpation,26,19,0.731
1027,CMR,Sud-Ouest,Ndian,Mundemba,Bulu Camp,4.90011,8.86463,Village,2012,Parasitological,Parasitology (Skin Biopsy),170,0,0
1028,CMR,Littoral,Moungo,Bonassama,Bwadibo,4.09089,9.58249,Village,2013,Parasitological,Parasitology (Skin Biopsy),169,5,0.03
1029,CMR,Littoral,Moungo,Bonassama,Bwadibo,4.09089,9.58249,Village,2013,Clinical,Nodule Palpation,151,2,0.013
1030,CMR,Sud-Ouest,Ndian,Mundemba,Camiton I,5.216667,8.966667,Village,2003,Clinical,Nodule Palpation,35,5,0.143
1031,CMR,Extrême-Nord,Mayo-Tsanaga,Mokolo,Chugule,10.795278,13.776389,Village,2003,Clinical,Nodule Palpation,50,23,0.46
1032,CMR,Nord-Ouest,Donga-Mantung,Nkambe,Chup,6.488888,10.661111,Village,,Clinical,Nodule Palpation,37,9,0.243
1033,CMR,Adamaoua,Djérem,Tibati,Dabere,6.6125,12.1,Village,,Clinical,Nodule Palpation,8,0,0
1034,CMR,Est,Lom-et-Djérem,Bertoua,Daiguene,4.783333,13.833333,Village,2004,Clinical,Nodule Palpation,43,0,0
1035,CMR,Nord,Mayo-Rey,Rey Bouba,Dami,8.85,14.216667,Village,,Clinical,Nodule Palpation,31,10,0.323
1036,CMR,Adamaoua,Mbéré,Meiganga,Dankali,6.4,14.25,Village,2003,Clinical,Nodule Palpation,33,5,0.152
1037,CMR,Extrême-Nord,Mayo-Tsanaga,Koza,Dayak Mid,10.801111,13.869722,Village,2003,Clinical,Nodule Palpation,50,10,0.2
1038,CMR,Centre,Haute-Sanaga,Nanga Eboko,Dea,4.5,12.566667,Village,,Clinical,Nodule Palpation,40,0,0
1039,CMR,Sud-Ouest,Manyu,Mamfe,Defang,5.5,9.564444,Village,,Clinical,Nodule Palpation,63,43,0.683
1040,CMR,Sud,Océan,Kribi,Dehane,3.49008,10.0857,Village,2013,Parasitological,Parasitology (Skin Biopsy),131,8,0.061
